Weight,Last,First,Conference,Allocated,ConfSeed,ConfFinish,Finish,ELO,Percent,Bonus,ELORank,Seed,Intermat,Coaches,RPI,Year,University,Record,Line
141,Ryan,Jonathan,SoCon,,2,2,NQ,,,,,NQ,NR,NR,NR,,,,
141,Spencer,Denton,SoCon,,7,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
149,Blees,Ryan,ACC,,3,2,cons 24,1340.88,71.88,47.83,24,12,15,15,NR,Jr.,VT,23-9,12
149,Donahue,Beau,ACC,,2,4,cons 24,1356.26,71.43,35,18,14,16,12,9,Sr.,NCST,20-8,20
149,Heilmann,Troy,ACC,,1,1,4,1394.89,84.62,36.36,11,4,8,8,4,Sr.,UNC,32-6,16
149,Krivus,Sam,ACC,,4,3,cons 16,1349.97,55.88,57.89,NR,NS,NR,25,24,,UVA,20-15,23
149,Lee,Robert,ACC,,5,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Leynaud,Brandon,ACC,,6,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Carlson,Colten,Big 12,,12,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Degen,Jarrett,Big 12,,4,3,cons 12,1365.25,67.65,47.83,17,NS,NR,20,18,,ISU,23-11,14
149,Fate,Jimmy,Big 12,,11,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Gliva,Kyle,Big 12,,7,cons 12,NQ,,,,NR,NQ,NR,28,27,,NDSU,,
149,Jeffries,Davion,Big 12,,6,6,cons 32,1347.67,52.5,57.14,21,NS,NR,27,32,,OU,24-19,7
149,Lewallen,Boo,Big 12,,2,1,8,1424.25,79.49,38.71,5,8,10,14,5,So.,OKST,29-8,8
149,Olivas,Khristian,Big 12,,3,cons 08,cons 24,1323.32,74.19,60.87,33,NS,NR,22,23,,FS,25-8,6
149,Ontiveros,Matthew,Big 12,,10,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
149,Rea,Kyler,Big 12,,9,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Robbins,Dane,Big 12,,8,5,cons 32,1292.43,57.58,26.32,NR,NS,NR,NR,NR,,AF,16-14,27
149,Thomsen,Max,Big 12,,1,2,cons 12,1414.76,75.68,46.43,9,9,11,7,8,So.,UNI,28-9,5
149,Turner,Sam,Big 12,,5,4,cons 32,1327.54,59.52,48.00,NR,NS,NR,26,NR,,WYO,25-17,3
149,Amine,Malik,Big Ten,,8,cons 12,cons 24,1323.92,53.33,43.75,32,NS,NR,24,22,,MICH,16-14,10
149,Bannister,Alfred,Big Ten,,7,6,cons 24,1388.91,69.7,47.83,14,16,18,17,16,Jr.,MD,24-10,4
149,Barone,Eric,Big Ten,,12,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Bleise,Steve,Big Ten,,9,7,cons 24,1372.79,68.97,40.00,NR,NS,17,21,15,Jr.,MINN,20-9,18
149,Britton,Jwan,Big Ten,,13,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Deakin,Ryan,Big Ten,,3,6,cons 16,1462.21,82.05,71.88,4,7,3,5,11,Fr.,NW,32-7,25
149,Deluca,Eleazar,Big Ten,,6,8,cons 24,1351.52,51.85,28.57,19,NS,14,12,13,Sr.,RUT,14-14,33
149,Hayes,Ke-Shawn,Big Ten,,5,3,cons 12,1420.7,80,57.14,6,5,5,6,6,So.,OHST,29-7,9
149,Martin,Cole,Big Ten,,10,cons 12,cons 32,1342.5,54.84,52.94,23,NS,NR,NR,NR,,WISC,17-14,19
149,McCrystal,Colton,Big Ten,,4,4,cons 16,1390.95,75.86,59.09,13,13,7,9,10,Sr.,NEB,23-7,13
149,Nash,Austin,Big Ten,,11,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Raya,AJ,Big Ten,,14,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Retherford,Zain,Big Ten,,1,1,1,1583.73,100,83.87,1,1,1,1,3,Sr.,PSU,31-0,1
149,Sorensen,Brandon,Big Ten,,2,2,5,1501.01,87.1,55.56,2,2,2,2,1,Sr.,IOWA,27-4,32
149,Burkert,Ryan,EIWA,,NS,8,NQ,,,,,NQ,NR,NR,NR,,,,
149,Elfvin,Trevor,EIWA,,7,cons 12,NQ,,,,NR,NQ,NR,31,30,,DREX,,
149,Garcia,Frank,EIWA,,10,2,cons 24,1330.32,68.29,17.86,28,NS,NR,33,NR,,BING,28-13,26
149,Gil,Wil,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Harnsberger,Alex,EIWA,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Hogue,Seth,EIWA,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
149,Koll,William,EIWA,,2,cons 12,NQ,1348.92,60,33.33,20,NQ,NR,30,NR,,COR,,
149,Kolodzik,Matthew,EIWA,,1,1,3,1463.11,82.86,37.93,3,11,9,11,14,So.,PRIN,29-6,21
149,Krause,Zach,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Ladnier,Hunter,EIWA,,6,5,NQ,1339.71,60,50,25,NQ,NR,NR,33,,,,
149,Lucie,Will,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Macalolooy,Jacob,EIWA,,8,7,NQ,,,,NR,NQ,NR,NR,25,,,,
149,Oliva,Joe,EIWA,,9,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
149,Prince,Jared,EIWA,,4,4,cons 32,1406.92,77.78,71.43,10,NS,19,NR,NR,So.,NAVY,22-6,31
149,Schuyler,Cortlandt,EIWA,,3,3,cons 16,1376.71,53.85,21.43,15,NS,20,19,17,Jr.,LEH,14-12,30
149,Sprague,Michael,EIWA,,5,6,cons 32,1331.59,60.53,21.74,NR,NS,NR,18,20,,AMER,23-15,11
149,Dinmore,Gary,EWL,,NS,3,NQ,1335.09,61.54,12.5,26,NQ,NR,NR,26,,,,
149,Ford,Ryan,EWL,,4,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Lorea,Jensen,EWL,,NS,4,NQ,,,,,NQ,NR,NR,NR,,,,
149,Ortz,Taylor,EWL,,3,2,cons 32,1316.86,68.42,53.85,NR,NS,NR,NR,NR,,CLAR,26-12,22
149,Perry,Ronald,EWL,,1,1,2,1419.18,88.89,56.25,7,15,12,15,19,Sr.,LH,32-4,29
149,Stahlnecker,Braden,EWL,,NS,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
149,Yorkdale,Justin,EWL,,NS,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Baker, Nolan,MAC,,NS,6,NQ,1394.31,15.38,50,12,NQ,NR,NR,NR,,,,
149,Carter,Kenan,MAC,,NS,5,NQ,,,,,NQ,NR,NR,NR,,,,
149,Driscoll,Chance,MAC,,NS,7,NQ,,,,,NQ,NR,NR,NR,,,,
149,Kowalski,Kade,MAC,,3,2,NQ,,,,,NQ,NR,NR,NR,,,,
149,Leeth,Grant,MAC,,1,1,6,1431.23,83.87,23.08,NR,3,4,3,2,Jr.,MIZZ,26-5,17
149,Oliver,Justin,MAC,,2,4,cons 12,1414.52,80.00,50.00,NR,6,6,4,7,Jr.,CMU,28-7,24
149,Palumbo,Nick,MAC,,NS,8,NQ,,,,,NQ,NR,NR,NR,,,,
149,Springer,Kyle,MAC,,4,3,cons 33,1345.63,53.85,71.43,22,NS,NR,29,NR,,EMU,21-18,2
149,Barry,Jake,Pac 12,,4,4,NQ,,,,,NQ,NR,NR,NR,,,,
149,Cortez,Joshua,Pac 12,,2,2,NQ,,,,NR,NQ,NR,NR,29,,,,
149,Reyes,Josh,Pac 12,,3,3,NQ,,,,,NQ,NR,NR,NR,,,,
149,Tonge,Kalani,Pac 12,,NS,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Tsirtsis,Jason,Pac 12,,1,1,7,1415.73,71.43,20,8,10,13,9,12,Sr.,ASU,21-8,28
149,Armenta,Joby,SoCon,,6,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
149,Barnes, Zach,SoCon,,2,cons 06,NQ,1332.66,58.06,61.11,27,NQ,NR,NR,NR,,,,
149,Boylen,Roman,SoCon,,5,4,NQ,,,,,NQ,NR,NR,NR,,,,
149,Buckiso,Tyler,SoCon,,4,3,NQ,1325.9,61.76,47.62,30,NQ,NR,32,NR,,CIT,,
149,Conroy,Aiden,SoCon,,7,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
149,Lawrence,Will,SoCon,,8,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
149,Londoff,Gavin,SoCon,,1,2,NQ,,,,NR,NQ,NR,NR,28,,,,
149,Williams,Tyshawn,SoCon,,3,1,cons 32,1289.42,50.00,33.33,NR,NS,NR,NR,NR,,SIUE,15-15,15
149,Barczak, Evan,,,,,NQ,1328.7,53.57,46.67,29,NQ,NR,NR,NR,,,,
149,Carter,Kenan,,,,,NQ,1325.59,62.16,43.48,31,NQ,NR,NR,31,,,,
